code,grouping,title,description,lithology
Cd,,Dunderberg Shale (Cambrian),"Shale, siltstone, fine-grained sandstone, and dolomite. Upper half to two-thirds of unit consists of light-brown to yellowish-brown, medium- to thick-bedded, coarse-grained dolomite and thinbedded siltstone and fine-grained sandstone; lower one-third to half of unit consists of dark-greenish-brown to yellowish-brown shale. Forms recessive slopes interrupted by resistant, discontinuous dolomite ledges in upper part of unit. Lower contact sharp. Thickness ~10–30 m",
Cbu,,"Bonanza King Formation, Upper member (Cambrian)","Dolomite, limestone, and minor silty dolomite; total thickness ~700 m. Forms steep slopes and cliffs above the recessive Cadiz Formation",
Cbs,,"Bonanza King Formation, Silver King Dolomite Member (Cambrian)","Black to dark-gray dolomite. General appearance massive, but bedding is locally well defined by parting planes, alternating layers of slightly different color 5–20 cm thick, and planar lamination. The dark dolomite commonly contains abundant irregular, narrow fragments or secondary growths of white dolomite as much as 5 cm long, in addition to irregular patches of light-gray dolomite that could be burrow mottling. Peloids or intraclasts were observed locally. A prominent layer of white dolomite 5 to 10 m thick is typically present at or just below top of unit. Basal contact of unit is sharp. Thickness ~100 m",
Cbb,,"Bonanza King Formation, Banded Mountain Member (Cambrian)","Dolomite and minor limestone. Primarily light- to dark-gray, thin- to thick-bedded dolomite characterized by well-developed bedding and lamination. Bedding defined by layers of alternating shades of gray, brownish-gray, and yellowish-gray that create a distinctive color-banded appearance or by parting planes in thick sequences of uniform color. Most beds, especially those of relatively light color, are strongly laminated; most lamination is planar, but some is undulatory or domiform which suggests a possible stromatolitic origin. Brown chert lenses are present in many beds, especially those of light-gray color; in addition, some beds contain large, domiform masses of brown chert that could be silicified stromatolites. A few beds contain yellowish-brown silty laminae. Upper 40 to 45 percent of unit is predominantly light to medium gray; lower 55 to 60 percent is predominantly medium to dark gray. Lower part of unit includes a distinctive sequence of medium- to dark-gray limestone several tens of meters thick; this limestone is characterized by irregular laminae and thin beds of light-gray dolomite that create a mottled appearance, similar to limestone of the underlying Papoose Lake Member. Lowermost 5 to 10 m of member typically consists of very dark gray, massive, ledge-forming dolomite that sharply overlies the recessive beds at top of the Papoose Lake Member. Thickness ~300 m ",
Cbp,,"Bonanza King Formation, Papoose Lake Member (Cambrian)","Limestone, dolomite, and silty dolomite. Upper half of unit is composed primarily of light- to medium-gray, thin- to thick-bedded, laminated dolomite and minor brown-weathering silty dolomite. Uppermost 20 m is a distinctive zone of orange-weathering, thin-bedded and laminated, silty dolomite that forms recessive slopes between the more resistant rocks above and below. Lower half of unit is composed of medium- to dark-gray, thin-bedded limestone that grades upward into buff and medium- to dark-gray, thin- to thick-bedded dolomite. Limestone beds are 1–5 cm thick and separated by irregular partings and interbeds of light-gray, brown, and yellowish-brown dolomite that create a distinctive color-banded appearance and mottled bedding surfaces. Some limestone contains small bioclastic fragments. Lower contact gradational with calcareous upper part of the Cadiz Formation. Thickness ~220 m",
Cc,,Cadiz Formation (Cambrian),"Lithologically heterogeneous unit composed of shale, siltstone, sandstone, and limestone. Uppermost ~30 m of unit consists of moderately resistant, thin-bedded, medium- to dark-gray or bluish-gray limestone and yellowish-brown mudstone that form alternating layers 1–4 cm thick with irregular margins. Underlying rocks are primarily maroon, yellow, yellowish-brown, and olive-green shale and yellowish-brown to dark-brown, thin-bedded and laminated siltstone to fine-grained sandstone and calcareous sandstone that form recessive slopes. Scattered, more resistant beds of lightgray to brownish-gray, plane- to cross-laminated, sandy and (or) oolitic limestone as much as 1 m thick form ribs across these slopes. Lower contact of formation is sharp. Thickness ~145 m",
Ccs,,"Cadiz Formation, Siltstone unit (Cambrian)","Distinctive unit of dark-purple, ripple-marked siltstone ~10 m thick present locally near middle of formation",
Cch,,Chambless Limestone (Cambrian),"Medium- to dark-gray, thin-bedded to massive limestone characterized by abundant spherical to subspherical algal nodules (oncolites) 2 to 3 cm in diameter (“Girvanella” sp. of Hazzard, 1954). Forms resistant ledges within which bedding is defined by parting planes or by irregular laminae of yellowish-brown mudstone or siltstone. Lower contact sharp. Thickness ~65 m",
Cl,,Latham Shale (Cambrian),"Brown to greenish-brown, fissile shale and siltstone; subordinate thin-bedded sandstone. Forms recessive slopes; lower contact sharp. Thickness ~10–20 m",
Cz,,Zabriskie Quartzite (Cambrian),"Light-gray, massive, medium-grained orthoquartzite that typically forms resistant, reddish-brown-weathering outcrops. Locally plane laminated. Lower contact sharp. Regarded as upper part of the Prospect Mountain Quartzite by Hazzard (1954); identified as Zabriskie Quartzite by Stewart (1970). Thickness ~25–35 m",
CZu,,"Wood Canyon Formation and Stirling Quartzite, undivided (Cambrian and Neoproterozoic)","Quartzite and subordinate siltstone. Upper half of unit, corresponding approximately to the Wood Canyon Formation, is composed of reddish-brown-weathering, fine- to medium-grained, thin- to thick-bedded quartzite and minor interbedded siltstone. The quartzite is characterized by ubiquitous planar and cross lamination; detrital grains are well sorted, tightly packed, and include minor feldspar and mica in addition to the dominant quartz. Lower half of unit, corresponding approximately to the Stirling Quartzite, is primarily composed of thick-bedded to massive, light-gray to cream-colored, medium- to coarse-grained quartzite and conglomeratic quartzite that locally contain angular to rounded quartzite clasts as much as 3 cm in diameter. The moderately sorted to well-sorted quartzite contains 2–5 percent detrital feldspar that is mostly microcline but also includes minor plagioclase; some quartzite has a calcareous cement. This thick-bedded to massive quartzite typically forms an upper and a lower sequence of resistant strata separated by a middle, less resistant sequence of medium- to dark-gray, thin-bedded, fine-grained quartzite and siltstone. Lower contact of unit is sharp. Unit was regarded as the middle part of the Prospect Mountain Quartzite by Hazzard; identified as Wood Canyon Formation and Stirling Quartzite by Stewart (1970), who also noted the inconspicuous and subtle contact between these two formations in this area. No attempt to define and map an interformational contact was made during the present study. Total unit thickness is ~300 m",
Zj,,Johnnie Formation (Neoproterozoic),"Dolomite, limestone, and quartzite. Upper 15 to 20 m consists of light-gray, grayish-orange, brownish-gray, and reddishgray, medium- to thick-bedded, laminated, sandy carbonate rocks that vary laterally from limestone to dolomite. Lower 5 to 10 m consists of light-gray, massive, medium-grained orthoquartzite that contains 1–2 percent detrital feldspar and rare muscovite and heavy minerals. Basal orthoquartzite rests unconformably on underlying metamorphic rocks (unit Xm); contact commonly disturbed by minor, unmapped faults. Unit forms recessive slopes below overlying, resistant quartzite (lower part of unit Zu); in one small area near Cornfield Spring, unit is absent apparently as a result of faulting and erosion prior to deposition of unit Zu. Regarded as lower part of Prospect Mountain Quartzite by Hazzard (1954); identified as Johnnie Formation by Stewart (1970). Thickness ~20–30 m",
Xq,,Quartz veins or dikes (Paleoproterozoic?),"Elongate, tabular bodies of white to purple quartz as much as 10 m thick that cut rocks of unit Xm in northern part of map area",quartzite
Xm,,"Metamorphic and plutonic rocks, undivided (Paleoproterozoic)","Gneiss, granitoid rocks, pegmatite, and quartz-rich metasedimentary(?) or metavolcanic(?) rocks; unit forms featureless slopes in contrast to overlying well-bedded sedimentary rocks. Dominant rock type is strongly foliated, finegrained, equigranular, quartz-feldspar-biotite gneiss composed of alternating felsic and mafic layers 1–4 mm thick. Thicker layers of predominantly felsic and mafic composition, however, are also common. Felsic layers typically contain subequal amounts of potassium feldspar, plagioclase, and quartz, although potassium feldspar commonly is subordinate or even absent; mafic layers contain as much as 80 percent biotite. Average grain size in most samples is less than 1 mm. Gneissic layers are almost invariably planar; in a few places they are deformed by small-scale folds. Gneiss is undated in map area but extends northward where it is dated as Paleoproterozoic (~1,710 Ma; Wooden and Miller, 1990; Miller and others, 2007). Gneiss is locally associated with subordinate unfoliated to weakly foliated granitoid rocks and pegmatite. In northwestern part of area and locally along east flank of Providence Mountains near C&K Mine, sizeable parts of unit consist of lightgray to light-brown, unfoliated, fine-grained, equigranular rocks composed of subequal quartz and feldspar (plagioclase ≥ potassium feldspar) with few or no mafic minerals; average grain size is less than 1 mm, many quartz grains are rounded, and the texture suggests a sedimentary or possibly volcanic origin. One small outcrop of coarse-grained orthoquartzite was observed near C&K Mine",
