code,grouping,title,description
Kcpt,Sierra Nevada Batholith,Carson Pass tonalite of Parker (1961) (Cretaceous),"Brownish-gray to bluish- gray, medium-grained, moderately foliated hornblende- and biotite-bearing granitic rock, ranging from granodiorite to quartz diorite. Oriented mafic minerals and flattened mafic inclusions define the foliation. Intrudes the Burnside Lake adamellite of Parker (1961). Armin and others (1984) report a K-Ar age of 90.9 ±2 Ma (biotite) for a sample collected at Carson Pass."
Kfvg,Sierra Nevada Batholith,Granodiorite of Faith Valley (Cretaceous),"Medium-gray, fine- to medium- grained, equigranular hornblende-biotite granodiorite."
Kepg,Sierra Nevada Batholith,Ebbetts Pass granodiorite of Wilshire (1957) (Cretaceous),"Light-gray, medium- to moderately coarse-grained biotite granodiorite. Anhedral biotite is the main mafic mineral, and anhedral hornblende is rare to locally common. Quartz characteristically occurs in ovoid aggregates. Locally the texture is prophyritic with microcline phenocrysts averaging 1.5 cm long. Mafic inclusions are common to locally abundant. Armin and others (1984) report a K-Ar age of 94.6±2.0 Ma (hornblende) from a sample collected on the south side of the Mokelumne River."
Kklg,Sierra Nevada Batholith,Granodiorite of Kinney Lakes (Cretaceous),"Light-gray, medium-grained hornblende-biotite granodiorite. Biotite occurs as euhedral elongated books and subhedral flakes and is more abundant than subhedral and euhedral hornblende prisms. Euhedral sphene is ubiquitous. Abundant mafic inclusions and a strong mineral foliation are usually present near contacts between this and older plutons. Mapped previously as Ebbetts Pass granodiorite by Wilshire (1957) and Curtis (1951). Evernden and Kistler (1970) reported a K-Ar age of 83.9±2 Ma (biotite) for this pluton."
bd,Sierra Nevada Batholith,Basalt dikes (Cretaceous),"Most were intruded into east-west vertical joint sets. Dikes intrude the older diorite and gabbros (Jdg), Pyramid Peak granite, Keiths Dome quartz monzonite, Desolation Valley granodiorite and the Camper Flat granodiorite (Loomis, 1983). In places remapped as microdiorite dikes (Jmd) by Sabine (1992)."
Kdqd,Sierra Nevada Batholith,Quartz monzodiorite north of Daggett Pass (Cretaceous?),"Dark-blue-gray, medium-grained, equigranular, locally strongly foliated hornblende-biotite quartz diorite; exposed north of Daggett Pass."
Kbp,Sierra Nevada Batholith,Breccia pipe (Cretaceous?),Angular fragments of metamorphic rock enclosed in a fine-grained granitic groundmass in the Carson Pass quadrangle.
Kcfg,Sierra Nevada Batholith,Camper Flat granodiorite (Cretaceous or Jurassic?),"Coarse-grained, equigranular hornblende-biotite granodiorite locally with oligoclase phenocrysts to 20 mm long. Contains numerous randomly distributed inclusions, most are mafic and larger than those in other local intrusive bodies. Intruded by the Rockbound Valley and Phipps Pass granodiorites. Intrudes the Pyramid Peak granite."
Kdvg,Sierra Nevada Batholith,Desolation Valley granodiorite (Cretaceous or Jurassic?),Hornblende-biotite granodiorite; contains a large number of randomly distributed mafic inclusions and a complex internal foliation. Intrudes the Pyramid Peak granite and the Keiths Dome quartz monzonite.
Kkqm,Sierra Nevada Batholith,Keiths Dome quartz monzonite (Cretaceous or Jurassic?),Mafic quartz monzonite averaging 16 percent dark minerals.
Kgr,Sierra Nevada Batholith,"Granite and granodiorite, undivided (Cretaceous)","Undivided fine- to coarse- grained granite and granodiorite; locally may include alaskite, quartz diorite and diorite. Includes biotite granite west of Round Mound of Armin and John (1983) and the hornblende-biotite granodiorite of Millberry Canyon of Armin and others (1984)."
Kqd,Sierra Nevada Batholith,Quartz diorite and diorite (Cretaceous),"Undivided fine- to locally coarse-grained quartz diorite and diorite; locally well foliated. Includes hornblende-biotite quartz diorite of Jobs Canyon of Armin and John (1983). Some of these rocks may be large mafic inclusions within more silicic intrusive rocks, while others are apparently intrusive."
Kdg,Sierra Nevada Batholith,Diorite and gabbro (Cretaceous),Dioritic and gabbroic rocks with minor quartz diorite.
KJgr,Sierra Nevada Batholith,Granite (Cretaceous and/or Jurassic),"Light-gray, medium-grained biotite granite gradational into granodiorite. Includes monzogranite of North Logan House of Grose (1985)."
KJgd,Sierra Nevada Batholith,Granodiorite (Cretaceous and/or Jurassic),Light- and dark-gray hornblende- biotite granodiorite with minor aplite and pegmatite.
KJdg,Sierra Nevada Batholith,Diorite and gabbro (Cretaceous and/or Jurassic),"Medium- to coarse-grained hornblende and biotite diorite to quartz diorite; foliated in part, locally pegmatitic; includes gabbro and metagabbro. Includes diorite of Montreal Canyon of Grose (1985)."
Jaqd,,Quartz diorite at Azure Lake (Late? and Middle Jurassic),"Quartz diorite with fine- to medium-grained seriate texture containing 17 percent quartz. Forms a northwest-trending, dike-like intrusion; cumulate layering and comb structure are locally present. Considered to be related and in part coeval with Jdg and Ja (Fisher, 1989)."
Jpgr,,Pyramid Peak granite (Jurassic),"White to pale buff, coarse-grained, equigranular biotite granite; locally includes quartz monzonite. Consists of approximately equal proportions of quartz, microcline perthite and sodic oligoclase with generally less than 5 percent biotite. Euhedral microcline crystals 5 to 20 mm long. Sabine (1992) reports a U-Pb age of 164±7 Ma (zircon)."
Jdi,,Diorite (Jurassic?),"Dark-gray, gray-green to mottled green and white, rusty- weathering, variably altered and deformed hornblende-rich diorite."
Jdg,,Diorite and gabbro (Late? and Middle Jurassic),"Dark-gray weathering, hypabyssal, medium-grained intrusive bodies and dikes of diorite and gabbro, typically with clinopyroxene and local plagioclase phenocrysts. Considered to be related and in part coeval with Jaqd and Ja (Fisher, 1989)."
Jmd,,Microdiorite dikes of Sabine (1992) (Jurassic),"Fine-grained, equigranular to seriate, locally porphyritic consisting of calcic plagioclase, hornblende and biotite. All trend east-northeast, approximately perpendicular to the foliation and alignment of the local diorite bodies."
Jmib,,Mafic intrusive breccia (Late? and Middle Jurassic),"Dark-gray weathering, polylithologic intrusive breccia, intermediate to mafic clasts, typically with extensive sulfidic hydrothermal alteration."
Ja,,Anorthosite (Late? and Middle Jurassic),"Undifferentiated noritic anorthosite through hypersthene diorite intrusive suite. Cumulate layering and comb structure common. Considered to be related and in part coeval with Jaqd and Jdg (Fisher, 1989)."
Jtlf,Tuttle Lake Formation of Harwood (1992),Lava flows (Late? and Middle Jurassic),"Dark-gray weathering, basaltic to andesitic, locally pillowed amygdular lava flows. Massive flows without amygdules are dominant and are commonly associated with basal flow breccia."
Jtlb,Tuttle Lake Formation of Harwood (1992),Volcanic breccia (Late? and Middle Jurassic),"Gray-weathering, polylithologic and monolithologic, intermediate to mafic volcanic breccia. Monolithologic breccia fragments surrounded by matrix of same composition. Polymict breccia contains volcanic clasts of variable texture and composition and sparse sedimentary clasts. Clasts up to a meter in diameter."
Jtls,Tuttle Lake Formation of Harwood (1992),Tuffaceous sandstone and conglomerate (Late? and Middle Jurassic),"Gray-weathering volcaniclastic sandstone and minor siltstone. Conglomerate is poorly organized, multicolored polymict, with sandstone interlayered with pebble and cobble conglomerate."
Jtld,Tuttle Lake Formation of Harwood (1992),Diamictite (Late? and Middle Jurassic),"Multicolored diamictite composed primarily of pebbly sandstone containing clasts of fine- to medium-grained volcanic and hypabyssal rocks, very coarse grained quartzofeldspathic sandstone and quartzite."
Jsc,Tuttle Lake Formation of Harwood (1992),Sailor Canyon Formation (Middle and Early Jurassic),Quartzose and feldspathic sandstone and siltstone; locally calcareous.
JTrm,Tuttle Lake Formation of Harwood (1992),Metamorphic rocks (Jurassic and/or Triassic),Undivided metasedimentary and metavolcanic rocks.
JTrms,Tuttle Lake Formation of Harwood (1992),Metasedimentary rocks (Jurassic and/or Triassic),"Metamorphosed sandstone, calcareous siltstone and silty limestone. Includes metaconglomerate in the Glenbrook quadrangle."
JTrmv,Tuttle Lake Formation of Harwood (1992),Metavolcanic rocks (Jurassic and/or Triassic),Metamorphosed dacitic and andesitic pyroclastic deposits and flows.
Trls,Tuttle Lake Formation of Harwood (1992),Limestone (Late Triassic?),"Bluish-gray weathering calcarenite and dolomite interbedded with 1- to 2-cm-thick beds or thin lenses of rusty to bluish, dark-gray weathering, very fine grained siliceous sandstone and siltstone."
Jlp,Lake Tahoe Sequence of Harwood (1992),Pelite unit (Jurassic?),"Rusty-weathering, black sulfidic slate and andalusite- bearing pelitic hornfels with sparse lenses of fine-grained feldspathic and volcanic- lithic sandstone."
Jle,Lake Tahoe Sequence of Harwood (1992),Ellis Peak Formation (Jurassic),"Alternating beds of medium- to fine-grained quartz arenite and dark-gray quartzose metasiltstone. Quartz arenite beds range in thickness from 1 to 30 cm, are commonly graded and parallel-laminated. Locally contains poorly sorted conglomerate and breccia composed of quartz arenite and limestone fragments in a quartz sand matrix."
Jlb,Lake Tahoe Sequence of Harwood (1992),Blackwood Creek Formation (Jurassic),"Black sulfidic slate and hornfels interbedded with light-gray weathering, dark-gray, sandy limestone and feldspathic sandstone in variable proportions. Sandy limestone beds range in thickness from 10 to 30 cm, are graded and locally cross-laminated. Feldspathic sandstone beds are fine grained and from 1 to 10 cm thick."
Mls,Lake Tahoe Sequence of Harwood (1992),Serena Creek Formation (Mississippian? or younger),Light-gray to tan metamorphosed ribbon chert with thin partings of black siliceous argillite.
water,,water,
