code,grouping,title,description
Tma,,"Saltos Shale Member, Monterey Shale (Saucesian and Relizian Stages; Miocene)","The Saltos Shale Member was named for Saltos Creek near the type locality (sees. 18, 19, and 20, T. 11 N., R. 27 W., San Bernardino base line and meridian) in the central Caliente Range, 8-9 miles northwest of New Cuyama, by Hill, Carlson, and Dibblee (1958, p. 2989-2990), and the name is herein adopted. According to them, the member is about 2,150 feet thick at the type locality: the lower part, about 1,000 feet thick, is composed of gray clay shale and siltstone and is separated by a sill of basalt about 75 feet thick from the upper part, about 1,100 feet of soft fissile shale and hard, brittle siliceous shale and frequent thin beds of dolomite. The lower part was assigned to the Saucesian Stage, early Miocene, and the upper part to the Relizian Stage, middle Miocene.

The Saltos Shale Member exposed northwestward along the Caliente Range and in the La Panza Range is generally similar to that at the type locality, but in these places it lacks the basalt and averages about 1,500 feet in thickness. In the La Panza and northwestern Caliente Ranges, the Saltos Shale Member is composed of soft-weathering yellowish-gray thin-bedded clayey to weakly siliceous or calcareous shale and contains a foraminiferal fauna of the Relizian Stage, middle Miocene. It conformably overlies the Painted Rock Sandstone Member of the Vaqueros Formation, in places with a gradational or intertonguing contact. In both these areas this shale unit is lithologically similar to and correlative with the Sandholdt Formation of Thorup (1943) in Salinas Valley.

Near the west end of Cuyama Valley, the lower 150 feet of the Saltos Shale(?) Member is semi-siliceous shale, and the upper 500 feet is clay shale that is overlain by the Branch Canyon(?) Sandstone. The shale there contains foraminifers assigned to the lower(?) Saucesian Stage (R. L. Pierce, oral commun., 1967). Where the Vaqueros Sandstone is missing, the shale overlies the Simmler Formation and underlying rocks of Paleocene(?) age with angular discordance of as much as 45°. This is the only place between the San Andreas and Rinconada faults where an angular unconformity appears within the middle Tertiary sedimentary sequence.

On the northeast flank of the Caliente Range, on both flanks southeast of Caliente Mountain, and in the eastern San Rafael Mountains, the Saltos Shale Member becomes mainly siltstone, in places containing sparse foraminifers of the Saucesian and Relizian Stages, and thin sandstone beds that contain mollusks of the ""Temblor Stage"" (Vedder and Repenning, 1965). Included in the Saltos Shale Member of these exposures is several hundred feet of similar but stratigraphically higher siltstone that contains foraminifers of the Luisian Stage and that grades laterally westerward into the Whiterock Bluff Shale Member (fig. 7). The siltstone of the Saltos Shale Member intertongues northeastward into the Branch Canyon Sandstone within a few miles of the San Andreas fault (fig. 12).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tmu,,"Upper par, siliceous shale, Monterey Shale (Mohnian Stage; Miocene)",
Tml,,"Lower part, argilliceous and siliceous shale, Monterey Shale (Relizian and Luisian Stages; Miocene)",
Tsm,,"Sandstone, Santa Margarita Formation (Miocene)","Throughout much of the region southwest of the San Andreas fault, the Monterey Shale is overlain by marine sandstone that was named the Santa Margarita Formation by Fairbanks (1904) for exposures at Santa Margarita, the type locality (8 miles southeast of Atascadero, fig. 2). This usage is herein retained for this sandstone unit.

The Santa Margarita Formation is about 1,500 feet thick in most places and is composed mainly of white friable sandstone. In some places, such as north of the La Panza Range and also south of Cuyama Valley, it contains thin rhyolitic tuffaceous beds, zones of phosphatic pellets, and one or two thin units of silty diatomaceous siliceous shale. South of Cuyama Valley the Santa Margarita Formation is underlain by upper Miocene beds of the Branch Canyon Sandstone, from which it is arbitrarily separated by a shale unit at the base of the Santa Margarita Formation. In one exposure just west of Carrizo Plain, the Santa Margarita Formation tongues eastward into nonmarine red beds. Within a few miles of the San Andreas fault in the southeastern Caliente Range and under Carrizo Plain, the Santa, Margarita Formation is not present, but is probably represented by the upper part of the Caliente Formation.

The sandstone of the Santa Margarita Formation contains shallow-water marine mollusks and echinoids of the ""Santa Margarita Stage,"" late Miocene. It was deposited as a littoral marine facies of a regressing sea.

Northeast of the San Andreas fault, coarse clastic deposits in the upper Miocene section are present only in the southeastern part of the Temblor Range. In this area very coarse conglomerate, which locally contains mollusks of late Miocene age, was referred to the Santa Margarita Formation by Simonson and Krueger (1942 p. 1619-1621). This usage is retained herein. This conglomerate, which also includes lenses of breccia and sandstone, is as much as 2,500 feet thick. It intertongues northeastward, downdip, into the Belridge Diatomite Member of the Monterey Shale.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tsg,,"Conglomerate and breccia, Santa Margarita Formation (Miocene)","Throughout much of the region southwest of the San Andreas fault, the Monterey Shale is overlain by marine sandstone that was named the Santa Margarita Formation by Fairbanks (1904) for exposures at Santa Margarita, the type locality (8 miles southeast of Atascadero, fig. 2). This usage is herein retained for this sandstone unit.

The Santa Margarita Formation is about 1,500 feet thick in most places and is composed mainly of white friable sandstone. In some places, such as north of the La Panza Range and also south of Cuyama Valley, it contains thin rhyolitic tuffaceous beds, zones of phosphatic pellets, and one or two thin units of silty diatomaceous siliceous shale. South of Cuyama Valley the Santa Margarita Formation is underlain by upper Miocene beds of the Branch Canyon Sandstone, from which it is arbitrarily separated by a shale unit at the base of the Santa Margarita Formation. In one exposure just west of Carrizo Plain, the Santa Margarita Formation tongues eastward into nonmarine red beds. Within a few miles of the San Andreas fault in the southeastern Caliente Range and under Carrizo Plain, the Santa, Margarita Formation is not present, but is probably represented by the upper part of the Caliente Formation.

The sandstone of the Santa Margarita Formation contains shallow-water marine mollusks and echinoids of the ""Santa Margarita Stage,"" late Miocene. It was deposited as a littoral marine facies of a regressing sea.

Northeast of the San Andreas fault, coarse clastic deposits in the upper Miocene section are present only in the southeastern part of the Temblor Range. In this area very coarse conglomerate, which locally contains mollusks of late Miocene age, was referred to the Santa Margarita Formation by Simonson and Krueger (1942 p. 1619-1621). This usage is retained herein. This conglomerate, which also includes lenses of breccia and sandstone, is as much as 2,500 feet thick. It intertongues northeastward, downdip, into the Belridge Diatomite Member of the Monterey Shale.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
gb,,"Granitic breccia, Santa Margarita Formation (Miocene)","Throughout much of the region southwest of the San Andreas fault, the Monterey Shale is overlain by marine sandstone that was named the Santa Margarita Formation by Fairbanks (1904) for exposures at Santa Margarita, the type locality (8 miles southeast of Atascadero, fig. 2). This usage is herein retained for this sandstone unit.

The Santa Margarita Formation is about 1,500 feet thick in most places and is composed mainly of white friable sandstone. In some places, such as north of the La Panza Range and also south of Cuyama Valley, it contains thin rhyolitic tuffaceous beds, zones of phosphatic pellets, and one or two thin units of silty diatomaceous siliceous shale. South of Cuyama Valley the Santa Margarita Formation is underlain by upper Miocene beds of the Branch Canyon Sandstone, from which it is arbitrarily separated by a shale unit at the base of the Santa Margarita Formation. In one exposure just west of Carrizo Plain, the Santa Margarita Formation tongues eastward into nonmarine red beds. Within a few miles of the San Andreas fault in the southeastern Caliente Range and under Carrizo Plain, the Santa, Margarita Formation is not present, but is probably represented by the upper part of the Caliente Formation.

The sandstone of the Santa Margarita Formation contains shallow-water marine mollusks and echinoids of the ""Santa Margarita Stage,"" late Miocene. It was deposited as a littoral marine facies of a regressing sea.

Northeast of the San Andreas fault, coarse clastic deposits in the upper Miocene section are present only in the southeastern part of the Temblor Range. In this area very coarse conglomerate, which locally contains mollusks of late Miocene age, was referred to the Santa Margarita Formation by Simonson and Krueger (1942 p. 1619-1621). This usage is retained herein. This conglomerate, which also includes lenses of breccia and sandstone, is as much as 2,500 feet thick. It intertongues northeastward, downdip, into the Belridge Diatomite Member of the Monterey Shale.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
sb,,"Schist breccia, Santa Margarita Formation (Miocene)","Throughout much of the region southwest of the San Andreas fault, the Monterey Shale is overlain by marine sandstone that was named the Santa Margarita Formation by Fairbanks (1904) for exposures at Santa Margarita, the type locality (8 miles southeast of Atascadero, fig. 2). This usage is herein retained for this sandstone unit.

The Santa Margarita Formation is about 1,500 feet thick in most places and is composed mainly of white friable sandstone. In some places, such as north of the La Panza Range and also south of Cuyama Valley, it contains thin rhyolitic tuffaceous beds, zones of phosphatic pellets, and one or two thin units of silty diatomaceous siliceous shale. South of Cuyama Valley the Santa Margarita Formation is underlain by upper Miocene beds of the Branch Canyon Sandstone, from which it is arbitrarily separated by a shale unit at the base of the Santa Margarita Formation. In one exposure just west of Carrizo Plain, the Santa Margarita Formation tongues eastward into nonmarine red beds. Within a few miles of the San Andreas fault in the southeastern Caliente Range and under Carrizo Plain, the Santa, Margarita Formation is not present, but is probably represented by the upper part of the Caliente Formation.

The sandstone of the Santa Margarita Formation contains shallow-water marine mollusks and echinoids of the ""Santa Margarita Stage,"" late Miocene. It was deposited as a littoral marine facies of a regressing sea.

Northeast of the San Andreas fault, coarse clastic deposits in the upper Miocene section are present only in the southeastern part of the Temblor Range. In this area very coarse conglomerate, which locally contains mollusks of late Miocene age, was referred to the Santa Margarita Formation by Simonson and Krueger (1942 p. 1619-1621). This usage is retained herein. This conglomerate, which also includes lenses of breccia and sandstone, is as much as 2,500 feet thick. It intertongues northeastward, downdip, into the Belridge Diatomite Member of the Monterey Shale.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tbs,,Branch Canyon Sandstone (Miocene),"Marine sandstone that grades laterally westward into the Monterey Shale in the Sierra Madre Mountains and Caliente Range (fig. 7) was named the Branch Canyon Formation by Hill, Carlson, and Dibblee (1958, p. 2991-2993) for Branch Canyon (3 miles south of New Cuyama), the type section (sec. 2. T. 9 N., R. 27 W.). This usage is adopted herein but the name is modified to Branch Canyon Sandstone.

In the Branch Canyon area south of Cuyama Valley, the Branch Canyon Sandstone is about 3,200 feet thick. The lower 2,100 feet (""Vaqueros,"" ""Temblor,"" and ""Briones,"" of Eaton and others, 1941, fig. 13) contains mollusks and echinoids diagnostic of the ""Temblor Stage,"" middle Miocene. The upper 1,100 feet (""upper Briones,"" ""Cierbo,"" and ""lower Neroly"" of Eaton and others, 1941, fig. 13) contains mollusks and echinoids diagnostic of the ""Santa Margarita Stage,"" late Miocene, and is overlain by the Santa Margarita Formation. Farther east, the Branch Canyon Sandstone is overlapped by and tongues out into nonmarine formations.

In the Caliente Range, the Branch Canyon Sandstone is as much as 3,000 feet thick. There it contains mollusks of the ""Temblor Stage,"" middle Miocene, only. It intertongues southwestward into the Saltos Shale Member of the Monterey Shale in both northwestern and southeastern parts of the range. In the southeastern part, it is overlain by and tongues laterally eastward into the Caliente Formation.

Several wells drilled for petroleum in the western parts of the Carrizo Plain and near the San Juan River to the northwest and a well northwest of Cholame penetrated sandstone of, or correlative with, the Branch Canyon Sandstone. These occurrences and the exposures of this sandstone along the northeastern flank of the Caliente Range suggest that the Branch Canyon Sandstone may be continuous under the southwestern part of the Carrizo Plain to and beyond Cholame. Along this strip, this marine sandstone intertongues southwestward into the Monterey Shale and northeastward toward the San Andreas fault into the Caliente Formation (fig. 12). Similar conditions prevail in the eastern Sierra Madre Mountains and presumably under Cuyama Valley. These relations indicate that the Branch Canyon Sandstone is essentially a strandline deposit between the Monterey Shale deposited offshore to the southwest and the terrestrial Caliente Formation to the northeast.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tb,,Basalt extrusive and intrusive rocks (Miocene),"Exposures of volcanic flows, sills, and dikes of olivine basalt are present only in the middle Tertiary sedimentary sequence in the Caliente Range and on the east margin of the La Panza Range (fig. 7). Most of the flows are in the Monterey Shale, Branch Canyon Sandstone, and middle and upper Miocene parts of the Caliente Formation of the Caliente Range. Dikes are locally abundant in the Vaqueros and Simmler Formations near Soda Lake, and several sills occur in the Vaqueros Formation.

In the southeastern Caliente Range, two of three prominent basalt flows (""Triple basalts"" of Eaton, 1939; Hill and others, 1958, p. 2994; and Vedder and Repenning, 1965) were radiometrically dated by Turner (1970, p. 115): the upper flow was dated as about 14.2 and 14.4 million years, and the lower one as about 16.1 million years. Both flows are in the Branch Canyon Sandstone, which contains a ""Temblor"" fauna and which intertongues eastward into the part of the Caliente Formation that contains a ""Barstovian"" fauna.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tc,,"Caliente Formation (Oligocene, Miocene, and Pliocene)","In areas southwest of the San Andreas fault, terrestrial deposits that intertongue westward into the marine deposits of Miocene age (fig. 7) were named the Caliente Formation by Hill, Carlson, and Dibblee, 1958 p. 2993-2995) for the Caliente Range. The type locality was designated in the southeastern part of the range in sees. 26 and 23, T. 11 N., R. 26 W., 5-6 miles northeast of New Cuyama. This usage is adopted herein.

The Caliente Formation of the Caliente Range is as thick as 4,200 feet and consists of varicolored sandstone, claystone, conglomerate, and four units of basalt. It has yielded vertebrate remains diagnostic of the following ages of the mammalian chronology (fig. 4): Arikareean, late Oligocene(?) and early Miocene; Hemingfordian, middle Miocene; Barstovian, middle(?) and late Miocene; Clarendonian, late Miocene (?); and Hemphillian, Pliocene (Repenning and Vedder, 1961; Vedder and Repenning, 1965). It is therefore assigned an Oligocene(?), Miocene, and Pliocene age (fig. 7), but it is mostly of Miocene age.

The strata of the Caliente Formation that contain mammalian faunas assigned to the Arikareean, Hemingfordian, and early Barstovian ages intertongue westward into marine beds that have yielded molluscan faunas diagnostic of the ""Temblor Stage"" and foraminiferal faunas diagnostic of the Saucesian, Relizian, and Luisian Stages in the central Caliente Range. The strata that contain mammalian faunas assigned to the late Barstovian, Clarendonian, and Hemphillian ""ages"" are overlain by the Quatal Formation and are considered in part if not in whole correlative with the Santa Margarita Formation, which is also overlain by the Quatal Formation south of Cuyama Valley and northwest of Carrizo Plain. If all the upper strata of the Caliente Formation correlate with the Santa Margarita Formation, then the Santa Margarita, of late Miocene age of the marine invertebrate chronology, may be in part Pliocene of the mammalian chronology. Until the relationship of the mammalian ""ages"" to the marine ""ages"" and stages is more precisely known, this problem is unresolved.

In the Santa Barbara Canyon area southeast of Cuyama Valley, red beds that underlie the Branch Canyon Sandstone were named the Pato Red Member of the Vaqueros Formation by English (1916, p. 200, pi. XIX), but assigned to the Caliente Formation (by Hill, Carlson, and Dibblee (1958, p. 2995). The latter usage is retained, and the name Pato is considered obsolete. These beds contain sparse mammalian remains that suggest Arikareean age (J. G. Vedder, oral commun., 1968).

In the Red Hills northwest of Carrizo Plain, the granitic basement is overlain by about 3,000 feet of red to gray coarse boulder-cobble conglomerate of granitic detritus. This conglomerate is questionably referred to the Caliente Formation and is presumably of middle or late Miocene age, but it may be in part of early Miocene or Oligocene(?) age. It is overlain by sandstone that has late Miocene fossils and is assigned to the Santa Margarita Formation but that could be correlative with the Branch Canyon Sandstone.

A well drilled for petroleum about 2 miles east of the Red Hills penetrated terrestrial beds of the Caliente(?) Formation to a depth of 2,910 feet, then struck granitic basement. Another well about 11 miles northwest of the Red Hills or 2V& miles northwest of Cholame was drilled through terrestrial sedimentary rocks, presumably of the Caliente Formation, similar to those in the Red Hills from depths of 1,950 to 6,523 feet, then entered granitic basement.

About 18 miles southeast of the Red Hills, red sandy beds which intertongue(?) southwestward into the Santa Margarita Formation crop out.

The widely scattered exposures of the Caliente Formation are probably only a very small part of its total areal extent; it is largely covered by younger formations. This terrestrial unit or facies probably underlies the southeastern part of Cuyama Valley and possibly much of the northeast margin of Carrizo Plain (fig. 12), as suggested by the distribution of the formation in surface exposures and well sections referred to. If the Caliente Formation is continuous along this strip, it intertongues southwestward into the Branch Canyon Sandstone and was deposited along a coastal plain adjacent to the Miocene sea to the southwest. The position of the west margin of the continental facies southwest of the San Andreas fault is about as postulated by Hill and Dibblee (1953, p. 446-448) but extends farther northwest. The granitic detritus that makes up the Caliente Formation was derived from a granitic terrane that presumably lay northeast of the San Andreas fault in middle Tertiary time.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tvs,,"Sandstone, Vaqueros Formation (Oligocene and Miocene)","Southwest of the San Andreas fault the Vaqueros Formation is thickest, 7,000 feet, in the central and northwestern parts of the Caliente Range and possibly under the Carrizo Plain. It thins southeastward to about 1,000 feet at the southeast end of the range, in part by intertonguing of its upper part into the terrestrial Caliente Formation. To the northwest, west, and southwest, this formation thins to about 1,000 feet or less under Salinas Valley and in the La Panza Range. In western Cuyama Valley and in the Sierra Madre Mountains, it is either absent or very thin.

In areas other than the Caliente Range, the Vaqueros Formation is mostly all sandstone and is undivided. In the Caliente Range, this formation was divided by Hill, Carlson, and Dibblee (1958, p. 2983-2988) into a local basal unit called the Soda Lake Sandstone Member, a lower unit called Soda Lake Shale Member, and an upper unit called Painted Rock Sandstone Member. The last two of these names are adopted herein; the first is renamed (fig. 7).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tva,,"Sandstone, Vaqueros Formation (Oligocene and Miocene)","[Note: Tva is a typo for Tvs in the original data ~~kueda]

Southwest of the San Andreas fault the Vaqueros Formation is thickest, 7,000 feet, in the central and northwestern parts of the Caliente Range and possibly under the Carrizo Plain. It thins southeastward to about 1,000 feet at the southeast end of the range, in part by intertonguing of its upper part into the terrestrial Caliente Formation. To the northwest, west, and southwest, this formation thins to about 1,000 feet or less under Salinas Valley and in the La Panza Range. In western Cuyama Valley and in the Sierra Madre Mountains, it is either absent or very thin.

In areas other than the Caliente Range, the Vaqueros Formation is mostly all sandstone and is undivided. In the Caliente Range, this formation was divided by Hill, Carlson, and Dibblee (1958, p. 2983-2988) into a local basal unit called the Soda Lake Sandstone Member, a lower unit called Soda Lake Shale Member, and an upper unit called Painted Rock Sandstone Member. The last two of these names are adopted herein; the first is renamed (fig. 7).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tvc,,"Clay shale, Vaqueros Formation (Oligocene and Miocene)","Southwest of the San Andreas fault the Vaqueros Formation is thickest, 7,000 feet, in the central and northwestern parts of the Caliente Range and possibly under the Carrizo Plain. It thins southeastward to about 1,000 feet at the southeast end of the range, in part by intertonguing of its upper part into the terrestrial Caliente Formation. To the northwest, west, and southwest, this formation thins to about 1,000 feet or less under Salinas Valley and in the La Panza Range. In western Cuyama Valley and in the Sierra Madre Mountains, it is either absent or very thin.

In areas other than the Caliente Range, the Vaqueros Formation is mostly all sandstone and is undivided. In the Caliente Range, this formation was divided by Hill, Carlson, and Dibblee (1958, p. 2983-2988) into a local basal unit called the Soda Lake Sandstone Member, a lower unit called Soda Lake Shale Member, and an upper unit called Painted Rock Sandstone Member. The last two of these names are adopted herein; the first is renamed (fig. 7).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tvp,,"Sandstone, Painted Rock Sandstone Member, Vaqueros Formation (Saucesian Stage; Oligocene and Miocene)","The Painted Rock Sandstone Member was named for Painted Rock, a prominent cavernous sandstone outcrop south of Soda Lake, but the type locality is the section exposed in the vicinity of Caliente Mountain, 7 miles northwest of New Cuyama (Hill and others, 1958, p. 2986, 2988). In the northwestern Caliente Range this member is nearly all sandstone, but at Caliente Mountain and a few miles eastward it includes as much as 50 percent interbedded siltstone. In these areas this member is about 5,500 feet thick. It thins to the southeast, in part by lateral gradation of its lower beds into the Soda Lake Shale Member and of its upper beds into the terrestrial Caliente Formation and in part by actual thinning of the whole member. At the southeast end of the Caliente Range, the Painted Rock Sandstone Member is only about 600 feet thick.

The Painted Rock Sandstone Member in the vicinity of Caliente Mountain and southeastward contains abundant Turritella ocoyana and Lyropecten miguelensis, especially in its upper and middle parts. In other areas these species occur in sandstones of ""Temblor age."" Eaton, Grant, and Alien (1941) assigned the upper 900 feet of this sandstone unit to the ""Temblor"" and the rest to the ""Vaqueros."" The fauna throughout this member is now considered to be of ""Vaqueros age,"" early Miocene (Repenning and Vedder, 1961). In the northwestern Caliente Range, the uppermost sandstones of this member are somewhat higher stratigraphically than those near Caliente Peak and may be of ""Temblor Age,"" middle Miocene.

The Painted Rock Sandstone Member contains undiagnostic shallow-water foraminifers, but foraminifers diagnostic of the Saucesian Stage, early Miocene, occur in the underlying beds of the Soda Lake Shale Member and west of Caliente Mountain in the immediately overlying beds of the Monterey Shale (vedder and Repenning, 1965).

On the northeast flank of La Panza Range, the Vaqueros Formation is nearly all sandstone and ranges form about 200 to 1,200 feet in thickness. It is assigned to the Painted Rock Sandstone Member because it is lithologically similar to that units in the nearby northwestern Caliente Range and is conformable overlain vy the Saltos Shelae Member of the Monterey Shale. In most places the Painted Rock Sandstone Member rests unconformably on the crystalline basement rocks of on the Upper Cretaceous and lower Tertiary sedimentary sequence against which the lower beds buttress out. In other places this member conformably overlies conglomerate of the Simmler Formation, and at La Panza Canyon (in sec. 36, T. 29 S., R. 16 E.) it overlies a thin intervening wedge as thick as 200 feet of the Soda Lake(?) Shale Member of the Vaqueros Formation.

The upper part of the Painted Rock Sandstone Member of La Panza Range is generally fine grained and fossiliferous, with abundant fossils of the Turritella ocoyana zone of ""Temblor age,"" lower or middle Miocene. The lower part is medium to coarse grained, nearly white, and rarely fossiliferous, although fossils of the Turritella inezana zone or ""Vaqueros age,"" lower Miocene, were reported and listed by Loel and Corey (1932, p. 107 and correlation chart).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tvl,,"Soda Lake Shale Member, Vaqueros Formation (Saucesian and Zemorrian Stages; Oligocene and Miocene)","The Soda Lake Shale Member consists of dark-gray silty clay shale, claystone, and siltstone. The type section is in the northwestern Caliente Range (NE 1/4 sec. 6, T. 31 S., R. 19 E., and extreme SE 1/4 sec. 31, T. 30 S., R. 19 E.), 3 miles west of the north end of Soda Lake (Hill and others, 1958, p. 2983, 2985). There, it is about 1,200 feet thick and contains a prominent bed of chert just below the middle. It contains foraminifers diagnostic of the Zemorrian Stage (late Oligocene) below that chert bed and foraminifers of the Saucesian Stage (early Miocene) above it.

The Soda Lake Shale Member is also exposed in the southeastern Caliente Range, where the probable time-stratigraphic equivalent of the type section is about 900 feet thick or less. It is of the same lithology as at the type section and in one place contains a lens of chert a few feet thick, just below the middle. It is in part overlain by as much as 2,000 feet of siltstone and some interbedded sandstone that was included in the Soda Lake Shale Member of this area by Vedder and Repenning (1965) because of its predominant stilstone lithology. According to them, this part contains foraminifers diagnostic of the Saucesian Stage and mollusks diagnostic of the ""Vaqueros age."" Near the southeast end of this range, all the strata assigned to the Soda Lake Shale Member grade laterally eastward into the Painted Rock Sandstone Member.

According to R. L. Pierce (oral commun., 1970), the part of the Soda Lake Shale Member below the
chert bed at the type section and the lowest part of this member in the Cuyama Valley oil fields contain a neritic foraminiferal fauna diagnostic of the late Zemorrian Stage and are probably correlative with the Agua Sandstone Member and part of the underlying lower part of the Santos Shale Member of the Temblor Formation as defined herein; the part above the chert bed at the type section and the upper part in the Cuyama Valley oil fields contain a subabyssal fauna diagnostic of the early Saucesian Stage and are probably correlative with the upper part of the
Santos Shale Member of the Temblor Formation as defined herein. The faunas of the Soda Lake Shale
Member, according to Pierce, however, are unlike those of the San Joaquin Valley, but are similar to those of the same age in the Santa Ynez Mountains. Thus, the basin in which this member accumulated was probably not connected with the San Joaquin Valley basin at that time, as suggested by Cross (1962, p. 27).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tvq,,"Quail Canyon Sandstone Member, Vaqueros Formation (Zemorrian Stage; Oligocene and Miocene)","The Soda Lake Shale Member in the southeastern Caliente Range is underlain in large part by a thin sandstone unit that was called the Soda Lake Sandstone Member by Hill, Carlson, and Dibblee (1958, p. 2984). Because the name Soda Lake is already applied to the overlying shale unit, this sandstone unit is here renamed the Quail Canyon Sandstone Member of the Vaqueros Formation. It is named for exposures in Quail Canyon, Cuyama quadrangle, 1964. The type locality is in the NWViSWi/i sec. 4, T. 10 N., R. 25 W., which is the same as that designated by Hill, Carlson, and Dibblee (1958, p. 2984) for the Soda Lake Sandstone Member. It conformably overlies red beds of the Simmler For- mation and was described by Hill, Carlson, and Dibblee (1958, p. 2984) as follows:

The sandstone in the type section attains a maximum thickness of 300 feet. It thins westward by a probable gradation into Soda Lake shale and toward the southeast it becomes undifferentiated from the overlying Painted Rock sandstone (T. 10 N., R. 25 W.). At its type locality * * * the Soda Lake sandstone is characteristically gray-white, weathering to light buff, massively bedded, fine to medium grained, well sorted, and very firmly indurated. It is commonly cross-bedded with fore-set beds dipping in a westerly direction.

This sandstone member contains Pecten magnolia and other forms diagnostic of ""Vaqueros age"" (J. G. Vedder, oral commun., 1968), Oligocene. According to R. L. Pierce (oral commun., 1970), this sandstone member is probably correlative with the Agua Sandstone Member of the Temblor Formation, and with the Vaqueros Sandstone of the Santa Ynez Mountains. The Quail Canyon Sandstone Member is assigned to the late Zemorrian Stage, late Oligocene, on the basis of the foregoing evidence.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tsi,,"Mostly sandstone, Simmler Formation (Oligocene)",
Tsc,,"Mostly conglomerate, Simmler Formation (Oligocene)",
