code,title,grouping,description
KJgvc,Conglomerate (Early Cretaceous and Late Jurassic),Great Valley Sequence,
Jk,Knoxville Formation (Late Jurassic),Great Valley Sequence,Distinctly-bedded black shale and thin beds of biotite-lithic wacke that contain only Late Jurassic fossils.  Mapped only in the Camp Meeker quadrangle
Jsv,Keratophyre and quartz keratophyre tuff (Late Jurassic),Great Valley Sequence,"This unit is only mapped in one small area in Camp Meeker quadrangle.  Highly altered, distinctly bedded, red, green, and white intermediate and silicic tuff. Feldspars are almost all replaced by albite.  Contains Late Jurassic (Tithonian) radiolarians and bright green celadonite crystals.  Probably correlative with tuff of the Lotta Creek Formation of the western San Joaquin Valley hundreds of kilometers southeast of the map area.  This unit also includes minor amounts of augite- porphyry breccia.  These rocks are probably the altered remnants of tuff and volcanic detritus derived from a volcanic arc and deposited on the Coast Range ophiolite.  The presence of Lotta Creek Formation tuff here is indicative of the large amounts of fault offset experienced by the California Coast Ranges"
Jv,"Mafic and intermediate volcanic rocks, Coast Range ophiolite (Late and Middle Jurassic)",Great Valley Sequence,"Mostly massive basalt, also includes amygduloidal and plagioclase-porphyry basalt, pillow basalt, diabase, keratophyre, and amygduloidal and plagioclase-hornblende-porphyry andesite.  Coast Range ophiolite volcanic rocks are distinguished from Franciscan Complex volcanic rocks by lack of metamorphism and alteration, by association with intrusive rocks, and by lack of associated ribbon chert."
Jd,"Mafic and intermediate intrusive rocks, Coast Range ophiolite (Late and Middle Jurassic)",Great Valley Sequence,"Diabase, gabbro, and diorite.  Also includes minor intrusive keratophyre.  The Franciscan Complex terranes contain very few outcrops of intrusive rocks, especially plutonic rocks like gabbro and diorite, so presence of this unit is indicative of Coast Range ophiolite affinity"
Ju,"Ultramafic rocks, Coast Range ophiolite (Late and Middle Jurassic)",Great Valley Sequence,"Peridotite and pyroxenite.  More or less serpentinized, but rocks of this unit generally maintain relic plutonic fabric (bastite)."
sp,"Serpentinite, Coast Range ophiolite (Late and Middle Jurassic)",Great Valley Sequence,"Mainly sheared serpentinite, but also includes massive serpentinized harzburgite."
sc,"Silica carbonate rock, Coast Range ophiolite (Late and Middle Jurassic)",Great Valley Sequence,
spm,Serpentinite matrix mélange,Great Valley Sequence,"Sheared meta-serpentinite containing large blocks and lenses (as much as 10 m. or more in diameter) of high-grade metamorphic rocks, graywacke, and greenstone.  Only large lenses are mapped.  In the eastern part of the Warm Springs Dam quadrangle, serpentinite, greenstone, and blueschist are tightly interleaved at outcrop scale"
Tsm,Sandstone and mudstone of the Fort Ross area (early Miocene),,"Gray-white, K-feldspar-bearing arkose overlain by black, somewhat fissile clayey siltstone.  The sandstone is interbedded with black mudstone. The siltstone contains thin beds and laminae of fine-grained sandstone and has yielded fish scales and early Miocene (Saucesian) foraminifers (Wentworth, 1967)"
Tg,German Rancho Formation of Wentworth and others (1998b) (Eocene and Paleocene),Great Valley Sequence,"Distinctly bedded, fine- to medium-grained, K-feldspar-bearing feldspathic arenite, mudstone, and conglomerate.  Coarse clasts consist mostly of granitic rocks, amphibolite, schist, gneiss, quartzite, and porphyry volcanics.  Eocene and Paleocene fossils have been collected from many places in the unit (for a recent discussion, see Wentworth and others, 1998b; Elder and others, 1998; McDougall, 1998), although the Paleocene section occurs only south of Black Point.  North of Black Point, the base of the unit is marked by red and green mudstone yielding early Eocene microfossils (Wentworth and others, 1998b; McDougall, 1998) and the Paleocene section is missing. This absence is attributed by Wentworth and others (1998b) to attenuation faulting"
TKu,Undifferentiated German Rancho and Gualala Formations (Eocene to Late Cretaceous),Great Valley Sequence,"Because of poor exposure, fault offset, lack of fossil age control, and similarity of lithologies, it has not been possible to differentiate between these two formations in a fault bounded sliver just west of the San Andreas Fault Zone (Stewarts Point, Annapolis, and Plantation quadrangles).  Outcrops of this unit are primarily deeply weathered arkose"
Ka,"Anchor Bay member, Gualala Formation of Wentworth and others (1998b) (Late Cretaceous and Paleocene?)",Great Valley Sequence,"Greenish-gray, fine- to medium-grained, plagioclase-bearing feldspathic arenite and mafic-clast pebble to boulder conglomerate.  Laumontite veins are found throughout the sandstone.  Coarse clasts include mostly basalt, diabase, gabbro, diorite, quartz diorite, and andesite, although pyroxenite is locally present in boulder conglomerate.  Molluscan fossils of Late Cretaceous age have been found throughout the member (Elder and others, 1998), but foraminifers of Late Cretaceous to late Paleocene age have been found in the same section, interleaved both with each other and with Late Cretaceous molluscan fossils (Wentworth and others, 1998b; McDougall, 1998).  This apparent conflict is still unresolved"
Ks,"Stewarts Point member, Gualala Formation of Wentworth and others (1998b) (Late Cretaceous and Paleocene?)",Great Valley Sequence,"Gray, fine- to medium-grained, K-feldspar and plagioclase-bearing feldspathic arenite and conglomerate.  Coarse clasts include porphyry volcanics and granitic rocks.  This unit has yielded Late Cretaceous (late Campanian or younger) molluscan fossils and foraminifers (Wentworth and others, 1998b; McDougall, 1998; Elder and others, 1998)"
KJsb,Spilite near Black Point of Wentworth and others (1998b) (Cretaceous? or Jurassic?),Great Valley Sequence,"Massive to pillowed basalt flows and sheeted diabase sills, metamorphosed to low-grade greenschist facies (albite-chlorite- clinozoisite; Phillips and others, 1998).  Wentworth and others (1998b) correlate this unit with the Coast Range ophiolite, but the geochemical studies of Phillips and others (1998) suggest a back-arc magmatic affinity, which differs from the Coast Range ophiolite (fore-arc affinity).  Jachens and others (1998) correlate the positive magnetic anomaly related to this unit with that related to the Logan gabbro in San Mateo County to the south (offset by the San Andreas/San Gregorio Fault Zone), but there is no unequivocal match between any strata in the area underlain by Logan gabbro and strata underlain by this unit.  This unit was originally assigned to the Cretaceous (Wentworth, 1967), but no direct evidence is available and both correlated mafic bodies are Jurassic (James and others, 1993; Blake and others, 1992; Hagstrum, 1997; Hopson and others, 1997)"
Kgr,Quartz diorite of Bodega Head (Cretaceous),Salinan Complex,"White or gray, hornblende-biotite quartz diorite.  Includes intermediate and felsic, fine-grained to pegmatitic dikes and pods.  Plagioclase- and K-feldspar-porphyry quartz diorite present locally.  This unit has yielded a Rb/Sr age of 80-92 Ma (Kistler and Champion, 1991)"
H2O,Water,,
water,Water,,
